UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M14860,2,-0.9523894433829583,-0.9473598877173399,0.06818514034143007,0.28219975602413067,-1.6959837443286894,0,0,0,0,0,0
2,L47181,1,-0.9023934097553371,-0.8799590021118113,-0.7294715051501507,0.6333080199205777,-1.6488517007812828,0,0,0,0,0,0
3,L47182,1,-0.9523894433829583,-1.014760773322907,-0.2274498401554495,0.9442896250860024,-1.6174303384163453,0,0,0,0,0,0
4,L47183,1,-0.9023934097553371,-0.9473598877173399,-0.5900210426516226,-0.04884517850680491,-1.5860089760514078,0,0,0,0,0,0
5,L47184,1,-0.9023934097553371,-0.8799590021118113,-0.7294715051501507,0.0013131449069732513,-1.55458761368647,0,0,0,0,0,0
6,M14865,2,-0.9523894433829583,-0.9473598877173399,-0.6346451906511515,0.1919147738793301,-1.5231662513215325,0,0,0,0,0,0
7,L47186,1,-0.9523894433829583,-0.9473598877173399,0.10723126984101794,0.24207309729310825,-1.4760342077741262,0,0,0,0,0,0
8,L47187,1,-0.9523894433829583,-0.9473598877173399,-0.0656873036571569,0.021376474272484798,-1.4446128454091884,0,0,0,0,0,0
9,M14868,2,-0.8523973761276875,-0.8799590021118113,0.7152352863346004,-1.1422966289271685,-1.413191483044251,0,0,0,0,0,0
10,M14869,2,-0.7524053088724167,-0.6777563452951486,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0,0,0,0,0,0
11,H29424,0,-0.8024013425000663,-0.7451572309007156,1.3567074138278297,-1.6137848690166836,-1.318927395949438,0,0,0,0,0,0
12,H29425,0,-0.7024092752447672,-0.6103554596895817,-0.6458012276510338,0.4326747262654651,-1.240373990037094,0,0,0,0,0,0
13,M14872,2,-0.7024092752447672,-0.6103554596895817,-1.1143547816460881,1.1148279246928485,-1.1618205841247502,0,0,0,0,0,0
14,M14873,2,-0.7024092752447672,-0.542954574084053,1.1335866738301847,-1.0018533233685898,-1.1146885405773437,0,0,0,0,0,0
15,L47194,1,-0.7024092752447672,-0.542954574084053,2.767946094312934,-2.0451464503751753,-1.0675564970299374,0,0,0,0,0,0
16,L47195,1,-0.7024092752447672,-0.542954574084053,0.017982973841959956,0.8439729782584461,-1.0361351346649996,0,0,0,0,0,0
17,M14876,2,-0.7024092752447672,-0.542954574084053,-1.2705392996444398,0.663403013968845,-1.004713772300062,0,0,0,0,0,0
18,M14877,2,-0.652413241617146,-0.542954574084053,-0.7183154681502684,0.5630863671412888,-0.9575817287526557,0,0,0,0,0,0
19,H29432,0,-0.6024172079894964,-0.542954574084053,-1.2984293921441452,1.4559045239065398,-0.9104496852052493,0,0,0,0,0,0
20,M14879,2,-0.5524211743618752,-0.47555368847848606,0.5200046388366611,-0.7510617062996991,-0.8318962792929053,0,0,0,0,0,0
21,H29434,0,-0.5524211743618752,-0.47555368847848606,-0.9135461156482078,0.2721680913413756,-0.7847642357454989,0,0,0,0,0,0
22,L47201,1,-0.6024172079894964,-0.47555368847848606,-0.49519472815262344,0.4828330496792433,-0.7062108298331549,0,0,0,0,0,0
23,M14882,2,-0.5524211743618752,-0.47555368847848606,0.2355256953396638,-0.9316316705893005,-0.6747894674682173,0,0,0,0,0,0
24,L47203,1,-0.5024251407342256,-0.4081528028729574,1.2228349698292427,-1.4332149047270821,-0.6276574239208109,0,0,0,0,0,0
25,M14884,2,-0.5024251407342256,-0.4081528028729574,0.12396532534084131,-0.26954180152742907,-0.5962360615558733,0,0,0,0,0,0
26,L47205,1,-0.5024251407342256,-0.3407519172673904,1.7973708753231785,-1.6739748571132171,-0.5491040180084669,0,0,0,0,0,0
27,L47206,1,-0.452429107106576,-0.3407519172673904,-0.14935758115627376,-0.09900350192058306,-0.5176826556435293,0,0,0,0,0,0
28,H29441,0,-0.452429107106576,-0.4081528028729574,1.5184699503261223,-1.5435632162373938,-0.48626129327859174,0,0,0,0,0,0
29,L47208,1,-0.452429107106576,-0.4081528028729574,-0.5565529316519758,0.42264306158271003,-0.40770788736624775,0,0,0,0,0,0
30,L47209,1,-0.5024251407342256,-0.4081528028729574,0.8602637673330696,-0.991821658685834,-0.3762865250013101,0,0,0,0,0,0
31,M14890,2,-0.452429107106576,-0.3407519172673904,-1.1143547816460881,0.8239096488929353,-0.3448651626363725,0,0,0,0,0,0
32,L47211,1,-0.5024251407342256,-0.4081528028729574,1.4459557098268878,-1.4532782340925934,-0.2977331190889661,0,0,0,0,0,0
33,L47212,1,-0.5024251407342256,-0.4081528028729574,-0.6681133016507983,0.8339413135756903,-0.2663117567240285,0,0,0,0,0,0
34,L47213,1,-0.5524211743618752,-0.47555368847848606,0.7040792493347182,-0.7510617062996991,-0.23489039435909093,0,0,0,0,0,0
35,M14894,2,-0.6024172079894964,-0.6103554596895817,0.11280928834095906,-0.530365083279075,-0.2034690319941533,0,0,0,0,0,0
36,M14895,2,-0.6024172079894964,-0.542954574084053,-0.48403869115274123,0.8640363076239577,-0.15633698844674693,0,0,0,0,0,0
37,M14896,2,-0.5524211743618752,-0.542954574084053,0.2355256953396638,-0.32973178962396227,-0.10920494489934052,0,0,0,0,0,0
38,L47217,1,-0.6024172079894964,-0.6103554596895817,-0.5565529316519758,-0.07894017255507152,-0.06207290135193413,0,0,0,0,0,0
39,H29452,0,-0.5524211743618752,-0.542954574084053,-0.8912340416484432,1.074701265961826,-0.030651538986996525,0,0,0,0,0,0
40,L47219,1,-0.6024172079894964,-0.6103554596895817,-1.0529965781467359,1.255271230251427,0.047901866925347474,0,0,0,0,0,0
41,L47220,1,-0.6024172079894964,-0.6103554596895817,-0.9860603561474424,0.5430230377757772,0.07932322929028507,0,0,0,0,0,0
